"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y"
"vilname","upperLeft","9.5546285356349738","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","932501","30.562380999999998","76.178321999999994","3","30","147203","03080208301","GPS RAJGARH CHHANA","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032817","PUNJAB","Fatehgarh Sahib","Rajgarh Chhanna (73)","Department of Education","Rural","03","887535","-374270"
"","","9.5546285356349738","35.032117999820365","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","934603","30.675526000000001","76.177565999999999","3","30","147301","03080208701","GPS RATTAN PALO","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032845","PUNJAB","Fatehgarh Sahib","Rattan Palon (161)","Department of Education","Rural","03","887526","-375802"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","937556","30.829999000000001","76.178263000000001","3","36","141114","03091005901","GPS Shamgarh","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033130","PUNJAB","Ludhiana","Shamgarh (128)","Department of Education","Rural","03","887534","-377896"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","938671","30.888166999999999","76.178235000000001","3","36","141115","03090702802","GPS GARHI TARKHANA NO.2","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033090","PUNJAB","Ludhiana","Garhi Tarkhana (79)","Department of Education","Rural","03","887534","-378685"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","936067","30.742961000000001","76.122292000000002","3","36","141412","03090406501","GPS MEHNDIPUR","1","1","3","1","Primary","Co-education","03","041","00225","Khanna","225","033209","PUNJAB","Ludhiana","Mehandipur (232)","Department of Education","Rural","03","886882","-376716"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","937269","30.811623999999998","76.122699999999995","3","36","141114","03091004004","SATYA BHARTI SCHOOL, MADPUR\n","5","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033124","PUNJAB","Ludhiana","Madpur (143)","Pvt. Unaided (Recognized)","Rural","03","886887","-377647"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","937427","30.822223000000001","76.123041999999998","3","36","141114","03091004001","GPS MADPUR","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033124","PUNJAB","Ludhiana","Madpur (143)","Department of Education","Rural","03","886891","-377790"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","940088","30.953334999999999","76.122260999999995","3","36","141127","03090617201","GPS FATEHGARH GUJRAN","1","1","3","1","Primary","Co-education","03","041","00227","Ludhiana (East)","227","033616","PUNJAB","Ludhiana","Fatehgarh Gujjran (93)","Department of Education","Rural","03","886881","-379571"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","940250","30.966864999999999","76.179533000000006","3","36","141115","03090709201","GPS Sansowal Kalan","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033026","PUNJAB","Ludhiana","Jassowal (32)","Department of Education","Rural","03","887549","-379754"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","940575","31.009284000000001","76.179649999999995","3","40","144517","03060409401","GPS SHAMASHPUR","1","1","3","1","Primary","Co-education","03","039","00218","Nawanshahr","218","","PUNJAB","Shahid Bhagat Singh Nagar"," ","Department of Education","Rural","03","887550","-380331"
