"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y","exceededTransferLimit"
"vilname","upperLeft","152.87405657041043","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","933991","30.643757999999998","75.601020000000005","3","36","141109","03090904705","TAGORE MODERN SCHOOL\n","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00229","Raikot","229","800198","PUNJAB","Ludhiana","Raikot (M Cl)","Pvt. Unaided (Recognized)","Urban","03","55051","-23461","True"
"","","152.87405657041043","35.032118000555933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","934021","30.645799","75.601105000000004","3","36","141109","03090904802","GPS RAIKOT BOYS","1","1","3","2","Primary","Co-education","03","041","00229","Raikot","229","800198","PUNJAB","Ludhiana","Raikot (M Cl)","Department of Education","Urban","03","55051","-23462",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","934029","30.646159999999998","75.600909999999999","3","36","141109","03090904901","GSSS RAIKOT G","1","5","2","2","Up. Pr. Secondary and Higher Sec","Girls","03","041","00229","Raikot","229","800198","PUNJAB","Ludhiana","Raikot (M Cl)","Department of Education","Urban","03","55050","-23463",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","934035","30.646474000000001","75.600977999999998","3","36","141109","03090904801","GPS RAIKOT GIRLS","1","1","3","2","Primary","Co-education","03","041","00229","Raikot","229","800198","PUNJAB","Ludhiana","Raikot (M Cl)","Department of Education","Urban","03","55051","-23463",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","934430","30.667534","75.601853000000006","3","36","141109","03090901802","GHS GONDWAL\n","1","7","3","1","Upper Pr. and Secondary","Co-education","03","041","00229","Raikot","229","033695","PUNJAB","Ludhiana","Gondwal (193)","Department of Education","Rural","03","55051","-23481",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","934474","30.669438","75.601629000000003","3","36","141109","03090905501","S.SOBHA SINGH PUBLIC SCHOOL","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00229","Raikot","229","800198","PUNJAB","Ludhiana","Raikot (M Cl)","Pvt. Unaided (Recognized)","Urban","03","55051","-23482",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","935637","30.723417999999999","75.602087999999995","3","36","141107","03091201802","GMS RAJOANA KHURD","1","4","3","1","Upper Primary only","Co-education","03","041","00229","Raikot","229","033688","PUNJAB","Ludhiana","Rajoana Khurd (96)","Department of Education","Rural","03","55051","-23528",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","935638","30.723438999999999","75.601712000000006","3","36","141107","03091201701","GPS RAJOANA KALAN","1","1","3","1","Primary","Co-education","03","041","00229","Raikot","229","033688","PUNJAB","Ludhiana","Rajoana Khurd (96)","Department of Education","Rural","03","55051","-23528",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","935649","30.723678","75.602689999999996","3","36","141107","03091201801","GPS RAJOANA KHURD","1","1","3","1","Primary","Co-education","03","041","00229","Raikot","229","033688","PUNJAB","Ludhiana","Rajoana Khurd (96)","Department of Education","Rural","03","55052","-23528",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","924442","30.288619000000001","75.630769999999998","3","605","148105","03200100902","GHS BHATHLAN","1","7","3","1","Upper Pr. and Secondary","Co-education","03","054","00275","Barnala","275","039974","PUNJAB","Barnala","Bhathlan (64)","Department of Education","Rural","03","55072","-23161",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schtype","esriFieldTypeInteger","Type Code","","924448","30.288743","75.630408000000003","3","605","148105","03200100901","GPS BHATHLAN","1","1","3","1","Primary","Co-education","03","054","00275","Barnala","275","039974","PUNJAB","Barnala","Bhathlan (64)","Department of Education","Rural","03","55072","-23161",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rururb","esriFieldTypeString","Rural_Urban","50","934057","30.647808000000001","75.804637","3","737","148021","03160101501","GPS DEHLIZ KALAN","1","1","3","1","Primary","Co-education","03","797","00269","Malerkotla","269","039398","PUNJAB","Malerkotla","Dehliz Kalan (14)","Department of Education","Rural","03","55199","-23464",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_cat","esriFieldTypeString","Category","50","932066","30.541654000000001","75.803820000000002","3","737","148020","03160107502","GOLDEN ERA MILLENNIUM SCHOOL","5","6","3","1","Pr. Up Pr. and Secondary Only","Co-education","03","797","00269","Malerkotla","269","039441","PUNJAB","Malerkotla","Sultanpur (51)","Pvt. Unaided (Recognized)","Rural","03","55198","-23374",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_typ","esriFieldTypeString","School Type","30","920856","30.161104000000002","75.809875000000005","3","43","148028","03161207801","GPS LAKHMIRWALA","1","1","3","1","Primary","Co-education","03","053","00272","Sunam","272","039799","PUNJAB","Sangrur","Shahpur Khurd Alias Lakhmirwala (10)","Department of Education","Rural","03","55203","-23053",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stcode11","esriFieldTypeString","stcode11","2","933475","30.615480000000002","75.810419999999993","3","737","148020","03160104405","SH. GURU TEGBAHADUR PUBLIC HIGH SCHOOL","5","6","3","1","Pr. Up Pr. and Secondary Only","Co-education","03","797","00269","Malerkotla","269","039395","PUNJAB","Malerkotla","Kangarpur (10)","Pvt. Unaided (Recognized)","Rural","03","55203","-23437",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtcode11","esriFieldTypeString","dtcode11","3","935936","30.736608","75.809641999999997","3","36","141203","03090802302","GHS JARTOLI","1","7","3","1","Upper Pr. and Secondary","Co-education","03","041","00227","Ludhiana (East)","227","033539","PUNJAB","Ludhiana","Jartauli (314)","Department of Education","Rural","03","55202","-23539",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtcode11","esriFieldTypeString","sdtcode11","5","935938","30.736650000000001","75.810274000000007","3","36","141203","03090802301","GPS JARTOLI","1","1","3","1","Primary","Co-education","03","041","00227","Ludhiana (East)","227","033539","PUNJAB","Ludhiana","Jartauli (314)","Department of Education","Rural","03","55203","-23539",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtname","esriFieldTypeString","Sub-district","30","923146","30.246987000000001","75.857871000000003","3","43","148001","03160905801","BABU RAM JI DASS SARAVHITKARI VIDYA MANDIR","5","2","3","2","Primary with Upper Primary","Co-education","03","053","00271","Sangrur","271","800273","PUNJAB","Sangrur","Sangrur (M Cl)","Pvt. Unaided (Recognized)","Urban","03","55238","-23126",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","subdt_lgd","esriFieldTypeInteger","subdt_lgd","","924460","30.289096000000001","75.858416000000005","3","43","148034","03160906702","GHS DEHKALAN","1","7","3","1","Upper Pr. and Secondary","Co-education","03","053","00271","Sangrur","271","039761","PUNJAB","Sangrur","Thalesh (25)","Department of Education","Rural","03","55238","-23161",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vilcode11","esriFieldTypeString","vilcode11","6","926188","30.33287","75.857680000000002","3","43","148034","03160503104","KAMAL MODEL SCHOOL","5","6","3","1","Pr. Up Pr. and Secondary Only","Co-education","03","053","00270","Dhuri","270","039624","PUNJAB","Sangrur","Benra (95)","Pvt. Unaided (Recognized)","Rural","03","55237","-23198",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stname","esriFieldTypeString","State","30","927503","30.369187","75.856594999999999","3","43","148024","03160504205","GOLDEN BELLS PUBLIC HIGH SCHOOL","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","053","00270","Dhuri","270","800271","PUNJAB","Sangrur","Dhuri (M Cl)","Pvt. Unaided (Recognized)","Urban","03","55237","-23229",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtname","esriFieldTypeString","District","50","927860","30.377949999999998","75.857743999999997","3","43","148024","03160504403","GMS LACHMI BAGH DHURI","1","4","3","2","Upper Primary only","Co-education","03","053","00270","Dhuri","270","800271","PUNJAB","Sangrur","Dhuri (M Cl)","Department of Education","Urban","03","55237","-23236",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vilname","esriFieldTypeString","Village","50","928581","30.399529000000001","75.857943000000006","3","43","148024","03160504801","GPS DAULATPUR","1","1","3","1","Primary","Co-education","03","053","00270","Dhuri","270","039630","PUNJAB","Sangrur","Daulatpur (64)","Department of Education","Rural","03","55238","-23254",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","management","esriFieldTypeString","Management","50","928590","30.399781999999998","75.857875000000007","3","737","148018","03160700401","GPS DAULATPUR","1","1","3","1","Primary","Co-education","03","053","00270","Dhuri","270","039630","PUNJAB","Sangrur","Daulatpur (64)","Department of Education","Rural","03","55238","-23254",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","location","esriFieldTypeString","Location","30","930245","30.465325","75.858592000000002","3","737","148023","03160107601","GPS SADATPUR","1","1","3","1","Primary","Co-education","03","797","00269","Malerkotla","269","039560","PUNJAB","Malerkotla","Shahadatpur (86)","Department of Education","Rural","03","55238","-23310",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","udise_stco","esriFieldTypeString","udise_stco","2","923333","30.253695","75.871506999999994","3","43","148002","03160904706","SANGRUR PUBLIC SEN SEC SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","053","00271","Sangrur","271","039764","PUNJAB","Sangrur","Mangwal (35)","Pvt. Unaided (Recognized)","Rural","03","55247","-23131",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","927526","30.369765999999998","75.872147999999996","3","43","148024","03160504402","GPS MANJEET BUILDING DHURI","1","1","3","2","Primary","Co-education","03","053","00270","Dhuri","270","800271","PUNJAB","Sangrur","Dhuri (M Cl)","Department of Education","Urban","03","55248","-23229",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","930918","30.492207000000001","75.872035999999994","3","43","148023","03161101604","DARUL-ULOOM-QADARIA","97","1","1","1","Primary","Boys","03","797","00269","Malerkotla","269","039561","PUNJAB","Malerkotla","Naudharani (89)","Madarsa Private Unaided (Recognized)","Rural","03","55248","-23333",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","932949","30.587236000000001","75.871602999999993","3","737","148019","03160108202","GSSS BHOGIWAL","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","797","00269","Malerkotla","269","039462","PUNJAB","Malerkotla","Bhogiwal (33)","Department of Education","Rural","03","55248","-23413",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","933403","30.611892000000001","75.871920000000003","3","737","148019","03160108502","J.M.S.B.C HIGH SCHOOL AIDED","4","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","797","00269","Malerkotla","269","039412","PUNJAB","Malerkotla","Kup (33)","Government Aided","Rural","03","55248","-23434",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","933406","30.611951000000001","75.871628000000001","3","737","148019","03160108501","GPS KUP KALAN","1","1","3","1","Primary","Co-education","03","797","00269","Malerkotla","269","039412","PUNJAB","Malerkotla","Kup (33)","Department of Education","Rural","03","55248","-23434",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","933408","30.611988","75.872240000000005","3","737","148019","03160108503","J.M.S.L.C MODEL SCHOOL","5","1","3","1","Primary","Co-education","03","797","00269","Malerkotla","269","039412","PUNJAB","Malerkotla","Kup (33)","Pvt. Unaided (Recognized)","Rural","03","55248","-23434",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","935146","30.699634","75.872198999999995","3","36","141117","03090103002","GHS JHAMMAT","1","7","3","1","Upper Pr. and Secondary","Co-education","03","041","00227","Ludhiana (East)","227","033314","PUNJAB","Ludhiana","Jhamat (335)","Department of Education","Rural","03","55248","-23508",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","935160","30.700379000000002","75.872190000000003","3","36","141117","03090103001","GPS JHAMMAT","1","1","3","1","Primary","Co-education","03","041","00227","Ludhiana (East)","227","033314","PUNJAB","Ludhiana","Jhamat (335)","Department of Education","Rural","03","55248","-23509",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","932445","30.559756","75.800839999999994","3","737","148023","03160100603","SAS PUBLIC HIGH SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","797","00269","Malerkotla","269","039440","PUNJAB","Malerkotla","Shekhupur Kalan (53)","Pvt. Unaided (Recognized)","Rural","03","55196","-23390",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","924198","30.281808999999999","75.791835000000006","3","43","148034","03160901201","GPS CHANGAL","1","1","3","1","Primary","Co-education","03","053","00271","Sangrur","271","039775","PUNJAB","Sangrur","Changal (18)","Department of Education","Rural","03","55189","-23155",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","924977","30.302299000000001","75.792514999999995","3","43","148034","03160901202","GSSS CHANGAL","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","053","00271","Sangrur","271","039774","PUNJAB","Sangrur","Khilrian (19)","Department of Education","Rural","03","55190","-23172",""
